Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Pollination,55.933476,-3.229715,,null,null,,55.933476,-3.229715
NMG Consulting,8.456614,-78.934343,,null,null,,8.456614,-78.934343
Delio,51.489558,-3.179564,,null,null,,51.489558,-3.179564
Investec (Australia),-23.992438,134.050443,,null,null,,-23.992438,134.050443
Windcave,null,null,,null,null,,null,null
MLC Australia,-23.992438,134.050443,,null,null,,-23.992438,134.050443
First Sentier Investors,null,null,,null,null,,null,null
RACQ,-27.260413,152.056182,,null,null,,-27.260413,152.056182
UniSuper,-30.00124,-51.05946,,null,null,,-30.00124,-51.05946
Georgeson,-33.876776,151.233419,,null,null,,-33.876776,151.233419
Pepper Financial Services Group,null,null,,null,null,,null,null
Sudrania Fund Services,49.611499,6.128535,,null,null,,49.611499,6.128535
Financial Recovery Technologies,40.706844,-74.011606,,null,null,,40.706844,-74.011606
Xinja,null,null,,null,null,,null,null
IOOF Holdings Ltd,0.896562,33.505597,,null,null,,0.896562,33.505597
Fat Prophets,41.669216,-89.939679,,null,null,,41.669216,-89.939679
PhillipCapital Australia,null,null,,null,null,,null,null
GESB,3.614078,125.468567,,null,null,,3.614078,125.468567
PrimaryMarkets,null,null,,null,null,,null,null
PayStaff,null,null,,null,null,,null,null
Intrust Super,37.692353,-97.245902,,null,null,,37.692353,-97.245902
Nixora Group Pty Ltd,-37.831937,144.992414,,null,null,,-37.831937,144.992414
Australian Credit and Finance,9.313373,123.303771,,null,null,,9.313373,123.303771
Cape,12.23333,-14.7,,null,null,,12.23333,-14.7
Loan Gallery Finance,35.308166,-82.454832,,null,null,,35.308166,-82.454832
MoneyPlace,null,null,,null,null,,null,null
Stockbrokers and Financial Advisers Association,52.629726,1.296355,,null,null,,52.629726,1.296355
Advent Partners,35.526741,-97.474609,,null,null,,35.526741,-97.474609
Habile Technologies,12,21.5,,null,null,,12,21.5
FairVine Super,51.340211,-2.972209,,null,null,,51.340211,-2.972209
Christian Super,null,null,,null,null,,null,null
Skyward Financial,40.706844,-74.011606,,null,null,,40.706844,-74.011606
Pivot Wealth,42.955888,-85.64508,,null,null,,42.955888,-85.64508
Specialist Finance Group,53.808607,-1.463827,,null,null,,53.808607,-1.463827
