Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Santelli Architects Pty Ltd,null,null,null,null,,,,"99-101 Francis Street, Northbridge, Western Australia, 6003, AU",-31.939821,115.8162,,"99-101 Francis Street, Northbridge, Western Australia, 6003, AU",-31.939821,115.8162
YIMBY Qld,null,null,null,null,,,,null,null,null,,null,null,null
Planpac Group Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
STS STONE,null,null,null,null,,,,null,null,null,,null,null,null
Wiltshire Swain Architects,null,null,null,null,,,,null,null,null,,null,null,null
Cameron & Co Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Urban Affairs,null,null,null,null,,,,"Level 6, 332-342 Oxford Street, Bondi Junction, NSW, 2022, AU",-33.84907,151.13834,,"Level 6, 332-342 Oxford Street, Bondi Junction, NSW, 2022, AU",-33.84907,151.13834
Demaine Partnership Pty Ltd,null,null,null,null,,,,"Level 2, 17 Madden Grove, Richmond, Victoria, 3121, AU",-37.803425,145.01105,,"Level 2, 17 Madden Grove, Richmond, Victoria, 3121, AU",-37.803425,145.01105
CDP TOWN PLANNING & URBAN DESIGN,null,null,null,null,,,,null,null,null,,null,null,null
Papworth Davies,null,null,null,null,,,,null,null,null,,null,null,null
Cox Architects,null,null,null,null,,,,null,null,null,,null,null,null
KAV Kreative,null,null,null,null,,,,null,null,null,,null,null,null
Black Rabbit Architecture + Interiors,null,null,null,null,,,,"2 Green Road, Woodville West, Adelaide, SA, 5011, AU",-34.897945,138.59166,,"2 Green Road, Woodville West, Adelaide, SA, 5011, AU",-34.897945,138.59166
Jane Irwin Landscape Architecture,null,null,null,null,,,,"Level 5, 68-72 Wentworth Ave, Surry Hills, NSW, 2010, AU",-33.84907,151.13834,,"Level 5, 68-72 Wentworth Ave, Surry Hills, NSW, 2010, AU",-33.84907,151.13834
JAYWARDEN Architects,null,null,null,null,,,,null,null,null,,null,null,null
Spanish Architects Society - Australia,null,null,null,null,,,,null,null,null,,null,null,null
Spackman Mossop Michaels,null,null,null,null,,,,"115 Flinders St, Surry Hills, New South Wales, 2010, AU",-33.84907,151.13834,,"115 Flinders St, Surry Hills, New South Wales, 2010, AU",-33.84907,151.13834
MCK Architecture & Interiors,null,null,null,null,,,,"104 Commonwealth St, Surry Hills, Sydney, NSW, 2010, AU",-33.84907,151.13834,,"104 Commonwealth St, Surry Hills, Sydney, NSW, 2010, AU",-33.84907,151.13834
KP Architects,null,null,null,null,,,,"43 Doggett St, Teneriffe, Queensland, 4005, AU",-27.47126,153.01831,,"43 Doggett St, Teneriffe, Queensland, 4005, AU",-27.47126,153.01831
EPCAD,null,null,null,null,,,,null,null,null,,null,null,null
ArchiTeam Cooperative Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Barr Property and Planning,null,null,null,null,,,,null,null,null,,null,null,null
Blainey North & Associates | Blainey North Collection,null,null,null,null,,,,"Level 1, East Sydney, NSW, 2010, AU",-33.84907,151.13834,,"Level 1, East Sydney, NSW, 2010, AU",-33.84907,151.13834
Architects EAT,null,null,null,null,,,,null,null,null,,null,null,null
The Site Foreman,null,null,null,null,,,,null,null,null,,null,null,null
