Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Border Property Exchange,null,null,null,null,,,,null,null,null,,null,null,null
Bass Coast Storage,null,null,null,null,,,,null,null,null,,null,null,null
Golden Plains Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bayside Boat and Caravan Storage,null,null,null,null,,,,null,null,null,,null,null,null
Jortikka Freighters,null,null,null,null,,,,null,null,null,,null,null,null
Trade Space 24 Seven,null,null,null,null,,,,null,null,null,,null,null,null
Kalimna Storage,null,null,null,null,,,,null,null,null,,null,null,null
Cronulla Removals,null,null,null,null,,,,null,null,null,,null,null,null
Cairns storage,null,null,null,null,,,,null,null,null,,null,null,null
Fremantle City Coldstores,null,null,null,null,,,,null,null,null,,null,null,null
Northern Yorke Storage,null,null,null,null,,,,null,null,null,,null,null,null
Busselton Storage Solutions,null,null,null,null,,,,null,null,null,,null,null,null
CARPARK CADDY,null,null,null,null,,,,null,null,null,,null,null,null
