Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Flinders Centre Bankstown,-35.021589,138.569681,,null,null,,-35.021589,138.569681
Commercial Property Guide,51.236657,-0.203675,,null,null,,51.236657,-0.203675
First National Commercial,-45.342073,166.896063,,null,null,,-45.342073,166.896063
Business and Technology Precincts by Graystone,null,null,,null,null,,null,null
Real Capital Analytics Australia,-31.417597,-64.183703,,null,null,,-31.417597,-64.183703
CoSpaces,null,null,,null,null,,null,null
Commercial Portfolio Management Pty Ltd,null,null,,null,null,,null,null
11th Space,32.974049,-115.513081,,null,null,,32.974049,-115.513081
The Space Agency,52.890133,-1.149588,,-37.803425,145.01105,,-37.803425,145.01105
Waterfront Place,2.520131,103.974759,,-27.47126,153.01831,,-27.47126,153.01831
One Commercial,16.514147,121.17761,,null,null,,16.514147,121.17761
Commercial SA,-33.205804,138.605587,,null,null,,-33.205804,138.605587
Ray White Commercial Springwood,-33.388998,151.473635,,null,null,,-33.388998,151.473635
Central Plaza,47.377084,8.543634,,null,null,,47.377084,8.543634
FAL Property Group,47.616405,19.017283,,null,null,,47.616405,19.017283
1 William Street,-37.944738,145.044336,,null,null,,-37.944738,145.044336
Taylor Nicholas Hills District,null,null,,null,null,,null,null
Liminal Property Solutions,35.773255,-78.638991,,null,null,,35.773255,-78.638991
VIN Commercial,41.808501,12.300473,,null,null,,41.808501,12.300473
My Move Manager,10.596442,13.813475,,null,null,,10.596442,13.813475
Axia Corporate Property,45.407692,-75.696909,,null,null,,45.407692,-75.696909
Chase Commercial,22.287764,114.141703,,null,null,,22.287764,114.141703
Castlerock Property,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Dugan & Co Property,40.41861,-80.046393,,null,null,,40.41861,-80.046393
LJ Hooker Commercial Canberra,-33.753413,150.700562,,null,null,,-33.753413,150.700562
Yukon Projects,63.652994,-136.813577,,null,null,,63.652994,-136.813577
Raine&Horne Commercial Inner West/South Sydney,null,null,,null,null,,null,null
Imperium Hotel Group,51.471092,21.443819,,-27.994457,153.40938,,-27.994457,153.40938
Engines Of Wealth,1.294771,103.858917,,null,null,,1.294771,103.858917
Freedom Suites Australia,44.371614,-88.31153,,-27.47126,153.01831,,-27.47126,153.01831
GRAAF Group,-32.248186,24.537312,,-33.84907,151.13834,,-33.84907,151.13834
The CoWork Space,52.890133,-1.149588,,null,null,,52.890133,-1.149588
Pivot Group,24.76667,124,,-31.939821,115.8162,,-31.939821,115.8162
