S/T name,SA2 name,Latitude,Longitude
New South Wales,"Emu Plains , Leonay",-33.746709,150.665143
New South Wales,"Glenmore Park , Regentville",-33.788587,150.680036
New South Wales,"Jamisontown, Jamisontown South Penrith",-33.768165,150.677813
New South Wales,"Kingswood , Werrington",-33.765827,150.726139
New South Wales,"Mulgoa , Luddenham , Orchard Hills",-33.838682,150.648506
New South Wales,Penrith,-33.746679,150.699109
New South Wales,"Warragamba , Silverdale",-33.886855,150.603853
New South Wales,"Richmond , Clarendon",-33.615264,150.761758
New South Wales,"Windsor , Bligh Park",-33.611257,150.818057
New South Wales,"Yarramundi , Londonderry",-33.631436,150.660271
New South Wales,Erskine Park,-33.814019,150.798027
New South Wales,St Clair,null,null
New South Wales,"Colyton , Oxley Park",-33.782368,150.796784
New South Wales,"St Marys, North St Marys",-33.774201,150.775353
New South Wales,"Homebush Bay , Silverwater",-33.863728,151.081747
